ct_label,country,n_papers,total_authorships,mean_ct_score
core,US,1528,5240,2.4908376963350785
none,US,683,2015,0.0
core,CN,476,1501,2.600840336134454
broad,US,398,1244,1.0
core,ES,363,1062,2.5261707988980717
noise,US,315,1060,0.707936507936508
none,CN,273,1159,0.0
none,GB,228,505,0.0
core,TW,226,624,2.646017699115044
core,TR,203,445,2.5960591133004924
core,BR,197,605,2.50253807106599
core,IT,172,533,2.447674418604651
core,GR,161,398,2.652173913043478
core,ID,156,589,2.532051282051282
core,HK,153,328,2.627450980392157
core,GB,147,342,2.4625850340136055
core,DE,119,308,2.5294117647058822
core,PT,116,347,2.560344827586207
core,CA,108,265,2.4444444444444446
core,MY,107,336,2.588785046728972
none,CA,103,242,0.0
broad,CN,100,294,1.0
core,AU,100,221,2.42
core,FI,97,276,2.484536082474227
core,DK,96,244,2.3958333333333335
none,DE,96,227,0.0
noise,GB,94,262,0.24468085106382978
core,KR,91,191,2.4725274725274726
none,AU,88,183,0.0
core,IN,87,214,2.4827586206896552
none,IN,83,241,0.0
none,IT,81,166,0.0
core,CH,79,271,2.4177215189873418
core,SE,79,159,2.5949367088607596
core,NL,77,199,2.5064935064935066
core,AT,71,196,2.591549295774648
core,NO,70,175,2.4714285714285715
core,MX,65,178,2.4461538461538463
core,JP,62,163,2.6451612903225805
broad,GB,62,130,1.0
core,CL,60,160,2.5
core,TH,56,173,2.642857142857143
noise,CN,55,232,0.41818181818181815
broad,BR,54,171,1.0
core,IL,54,131,2.2777777777777777
core,CO,54,149,2.3333333333333335
none,FR,52,225,0.0
none,NL,52,134,0.0
core,LT,50,103,2.54
core,IE,49,120,2.489795918367347
core,SG,48,101,2.5208333333333335
none,JP,47,110,0.0
noise,DE,47,131,0.14893617021276595
none,ES,44,106,0.0
core,FR,43,119,2.441860465116279
none,BR,40,144,0.0
core,PE,36,132,2.5277777777777777
core,ZA,36,65,2.5277777777777777
broad,ID,35,106,1.0
core,NZ,34,64,2.6176470588235294
noise,CA,34,54,0.7058823529411765
broad,CA,32,62,1.0
core,HU,32,71,2.375
none,GR,31,68,0.0
broad,IT,30,76,1.0
core,CZ,30,55,2.6
broad,MY,29,74,1.0
noise,IT,29,57,0.20689655172413793
broad,ES,29,83,1.0
none,SE,29,49,0.0
broad,TW,29,83,1.0
core,EC,29,74,2.413793103448276
none,CH,28,71,0.0
core,CY,27,45,2.814814814814815
none,SG,26,63,0.0
none,TW,26,71,0.0
broad,TR,26,62,1.0
broad,DE,26,65,1.0
broad,DK,26,54,1.0
noise,IN,25,52,0.44
core,MO,25,37,2.56
core,AR,23,84,2.652173913043478
noise,AU,23,60,0.13043478260869565
none,IL,22,36,0.0
noise,IL,22,45,0.9090909090909091
broad,IN,21,70,1.0
broad,NO,21,31,1.0
core,SK,21,60,2.5714285714285716
noise,NL,20,88,0.25
broad,JP,20,52,1.0
none,FI,20,61,0.0
none,NO,20,42,0.0
broad,HK,20,41,1.0
none,TR,20,38,0.0
noise,ES,20,54,0.85
none,BE,20,44,0.0
core,UY,20,69,2.45
none,KR,19,45,0.0
core,EE,19,40,2.526315789473684
core,BE,19,52,2.5789473684210527
broad,AU,19,44,1.0
broad,MX,18,55,1.0
core,SA,18,28,2.388888888888889
core,RU,18,66,2.5555555555555554
none,DK,17,33,0.0
core,RO,16,25,2.75
noise,JP,16,34,0.25
none,HK,16,42,0.0
none,PT,16,36,0.0
none,PL,16,25,0.0
broad,NL,15,36,1.0
none,ZA,15,26,0.0
broad,FI,15,44,1.0
broad,KR,15,35,1.0
noise,FR,15,65,0.8
broad,SE,14,22,1.0
core,AE,14,32,2.4285714285714284
none,RU,14,45,0.0
none,MX,13,33,0.0
broad,FR,13,45,1.0
core,PL,13,32,2.6923076923076925
broad,NZ,13,28,1.0
broad,SG,13,28,1.0
broad,CO,13,37,1.0
core,EG,13,37,2.5384615384615383
broad,PT,13,75,1.0
noise,DK,12,24,0.5833333333333334
core,HR,12,35,2.75
none,AT,12,26,0.0
none,MY,12,29,0.0
none,HU,12,24,0.0
broad,IL,12,22,1.0
broad,AT,12,39,1.0
broad,RU,12,28,1.0
broad,CH,12,40,1.0
broad,GR,11,31,1.0
none,SA,11,28,0.0
core,RS,11,19,2.272727272727273
core,NG,11,36,2.5454545454545454
core,MT,10,22,2.5
noise,GR,10,20,1.0
none,IE,10,18,0.0
none,ID,10,30,0.0
none,CO,9,18,0.0
broad,PL,9,22,1.0
noise,SG,9,16,0.2222222222222222
none,MO,9,18,0.0
none,NZ,9,13,0.0
noise,AT,9,28,0.1111111111111111
core,SI,9,18,2.2222222222222223
broad,LT,8,22,1.0
none,BD,8,48,0.0
noise,RU,8,17,1.375
core,CR,8,38,2.625
noise,SE,8,10,0.625
core,BD,7,15,2.0
broad,TH,7,25,1.0
noise,CH,7,11,0.2857142857142857
noise,CO,7,23,1.4285714285714286
core,PA,7,18,2.5714285714285716
none,CL,7,17,0.0
broad,HU,7,14,1.0
noise,NO,7,11,0.42857142857142855
noise,KR,7,12,0.2857142857142857
noise,ZA,7,16,0.0
noise,TW,7,15,0.8571428571428571
core,QA,7,13,2.4285714285714284
core,PH,7,12,2.4285714285714284
noise,BR,7,22,0.0
core,KZ,7,19,2.857142857142857
broad,ZA,7,15,1.0
broad,CZ,7,20,1.0
none,IR,7,15,0.0
broad,SA,6,14,1.0
core,PK,6,18,2.6666666666666665
core,IQ,6,14,2.1666666666666665
core,LV,6,8,2.3333333333333335
core,JO,6,15,2.8333333333333335
broad,AR,6,12,1.0
none,CZ,6,13,0.0
broad,IE,6,19,1.0
noise,IE,6,9,0.6666666666666666
core,IR,6,11,2.3333333333333335
noise,BE,6,11,0.16666666666666666
broad,CY,6,8,1.0
broad,PE,6,25,1.0
none,EG,6,9,0.0
core,MK,5,13,2.8
noise,FI,5,6,0.0
broad,EE,5,9,1.0
none,PK,5,12,0.0
noise,TR,5,6,0.6
core,BG,5,7,2.4
broad,BE,5,8,1.0
core,MA,5,8,2.8
core,LU,5,24,2.6
core,TN,5,10,2.2
core,VN,5,8,2.0
core,LB,5,5,2.4
none,IQ,4,6,0.0
noise,SA,4,9,1.5
broad,IR,4,4,1.0
noise,MY,4,13,1.25
core,LK,4,8,2.75
none,TN,4,9,0.0
noise,PT,4,9,1.0
noise,RO,4,9,1.0
noise,PK,4,9,1.0
broad,NG,4,22,1.0
core,VE,4,8,2.0
broad,CL,3,7,1.0
noise,CL,3,4,1.3333333333333333
broad,RS,3,8,1.0
none,TH,3,5,0.0
core,UA,3,11,2.0
core,MD,3,10,2.3333333333333335
core,DO,3,3,2.6666666666666665
core,GT,3,5,2.0
core,GH,3,6,2.6666666666666665
none,SI,3,7,0.0
broad,KZ,3,6,1.0
broad,PK,3,6,1.0
core,NA,3,5,2.6666666666666665
none,VN,3,4,0.0
noise,EG,3,3,2.0
noise,MX,3,12,0.3333333333333333
none,RO,3,5,0.0
none,AR,3,17,0.0
none,LK,3,13,0.0
none,JO,3,5,0.0
none,QA,3,9,0.0
none,RS,3,10,0.0
broad,OM,3,3,1.0
none,MK,2,2,0.0
none,OM,2,2,0.0
none,PE,2,3,0.0
broad,LB,2,2,1.0
none,CR,2,7,0.0
none,CY,2,2,0.0
none,GH,2,6,0.0
noise,EE,2,2,1.0
noise,PL,2,3,0.0
none,AL,2,3,0.0
noise,ID,2,5,1.0
none,RW,2,3,0.0
broad,EC,2,2,1.0
broad,DZ,2,2,1.0
none,MA,2,3,0.0
none,GE,2,2,0.0
none,KW,2,2,0.0
none,EE,2,7,0.0
none,DZ,2,8,0.0
none,KZ,2,2,0.0
noise,HU,2,3,2.0
none,BG,2,4,0.0
noise,NZ,2,4,0.0
broad,MK,2,4,1.0
core,PR,2,6,2.5
broad,SI,2,3,1.0
core,UZ,2,5,2.0
broad,TJ,2,2,1.0
broad,RO,2,3,1.0
broad,SK,2,9,1.0
core,LY,2,5,2.0
core,BO,2,10,3.0
broad,BG,2,2,1.0
none,UA,2,2,0.0
broad,AE,2,2,1.0
broad,UZ,2,9,1.0
core,AL,2,3,3.0
core,CU,2,4,2.5
noise,AR,2,7,0.0
broad,PR,2,5,1.0
broad,QA,2,3,1.0
broad,BA,1,1,1.0
broad,BD,1,2,1.0
none,UY,1,1,0.0
broad,CR,1,4,1.0
core,CV,1,1,2.0
core,ET,1,2,3.0
broad,ZW,1,1,1.0
broad,UA,1,3,1.0
broad,UG,1,1,1.0
broad,UY,1,3,1.0
core,KW,1,2,3.0
core,KE,1,1,2.0
core,IS,1,1,3.0
core,AZ,1,1,3.0
broad,MN,1,5,1.0
broad,MA,1,2,1.0
broad,MO,1,2,1.0
broad,LU,1,2,1.0
noise,CU,1,1,0.0
noise,EC,1,2,0.0
broad,LS,1,1,1.0
noise,BG,1,4,0.0
noise,AE,1,2,0.0
broad,TN,1,2,1.0
core,MN,1,3,2.0
core,OM,1,2,3.0
core,PY,1,1,3.0
core,PS,1,6,2.0
core,RW,1,1,2.0
broad,BH,1,1,1.0
core,BY,1,1,2.0
none,ZW,1,1,0.0
none,VI,1,1,0.0
none,UZ,1,1,0.0
noise,IQ,1,1,0.0
noise,HR,1,2,0.0
noise,HK,1,1,1.0
noise,GH,1,3,0.0
noise,PE,1,1,2.0
noise,LT,1,2,3.0
noise,LU,1,4,1.0
noise,MA,1,3,0.0
noise,MK,1,1,0.0
broad,PH,1,4,1.0
none,AE,1,1,0.0
noise,PR,1,2,1.0
broad,KH,1,1,1.0
broad,JO,1,1,1.0
broad,IS,1,1,1.0
none,BH,1,5,0.0
none,BI,1,1,0.0
none,BJ,1,3,0.0
none,CI,1,1,0.0
broad,HR,1,2,1.0
noise,ZW,1,1,0.0
noise,TZ,1,1,1.0
noise,SK,1,1,0.0
noise,TH,1,2,3.0
noise,UA,1,2,0.0
noise,UZ,1,3,1.0
broad,KW,1,1,1.0
none,HR,1,1,0.0
none,LU,1,1,0.0
none,LT,1,2,0.0
none,KP,1,5,0.0
none,LB,1,2,0.0
none,KE,1,3,0.0
none,KG,1,3,0.0
none,EC,1,3,0.0
none,MD,1,1,0.0
broad,ET,1,1,1.0
broad,EG,1,2,1.0
none,MT,1,4,0.0
broad,CU,1,1,1.0
none,MM,1,3,0.0
none,PH,1,2,0.0
none,MZ,1,1,0.0
none,NP,1,1,0.0
