ct_layer,country,n_papers,total_authorships
broad,US,2027,6901
broad,CN,582,1811
broad,ES,400,1170
broad,TW,258,710
broad,BR,251,776
broad,TR,230,504
broad,GB,220,496
broad,IT,204,607
broad,ID,191,696
broad,GR,177,443
broad,HK,174,370
broad,CA,152,348
broad,DE,150,387
broad,MY,138,414
broad,PT,131,426
broad,DK,125,305
broad,AU,121,268
broad,FI,112,320
broad,IN,110,285
broad,KR,106,226
broad,SE,96,185
broad,NL,95,261
broad,CH,92,312
broad,NO,91,206
broad,AT,84,237
broad,MX,84,239
broad,JP,83,216
broad,IL,77,180
broad,CO,71,200
broad,CL,65,169
broad,TH,64,200
broad,FR,62,177
broad,SG,62,130
broad,LT,59,127
broad,IE,57,141
broad,NZ,47,92
broad,PE,43,158
broad,ZA,43,80
broad,HU,41,88
broad,CZ,37,75
broad,RU,35,103
broad,CY,33,53
broad,EC,31,76
broad,AR,29,96
broad,SA,27,50
broad,MO,26,39
broad,EE,25,50
broad,BE,25,61
broad,SK,23,69
broad,PL,22,54
broad,UY,21,72
broad,RO,20,34
broad,EG,17,42
broad,AE,16,34
broad,NG,15,58
broad,RS,14,27
broad,HR,13,37
broad,SI,11,21
broad,PK,11,30
broad,IR,10,15
broad,MT,10,22
broad,KZ,10,25
broad,CR,9,42
broad,QA,9,16
broad,PH,8,16
broad,BD,8,17
broad,LU,7,30
broad,LB,7,7
broad,PA,7,18
broad,MK,7,17
broad,BG,7,9
broad,JO,7,16
broad,LV,6,8
broad,IQ,6,14
broad,MA,6,10
broad,TN,6,12
broad,PR,5,13
broad,VN,5,8
broad,UZ,5,17
broad,VE,4,8
broad,LK,4,8
broad,UA,4,14
broad,MD,3,10
broad,GT,3,5
broad,GH,3,6
broad,CU,3,5
broad,DO,3,3
broad,NA,3,5
broad,AL,2,3
broad,TJ,2,2
broad,KW,2,3
broad,OM,2,3
broad,LY,2,5
broad,ET,2,3
broad,DZ,2,2
broad,BO,2,10
broad,IS,2,2
broad,MN,2,8
broad,CV,1,1
broad,BY,1,1
broad,BA,1,1
broad,AZ,1,1
broad,BH,1,1
broad,LS,1,1
broad,KE,1,1
broad,KH,1,1
broad,PS,1,6
broad,PY,1,1
broad,RW,1,1
broad,TZ,1,1
broad,UG,1,1
broad,ZW,1,1
