ct_layer,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa
broad,1975,1,1,20.0,20.0,20.0,0.0,0.0,32.0,32.0,0.0
broad,1980,1,1,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
broad,1982,1,1,1.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0
broad,1983,1,1,15.0,15.0,15.0,0.0,0.0,9.0,9.0,0.0
broad,1984,1,1,3.0,3.0,3.0,0.5,0.5,5.0,5.0,0.0
broad,1986,2,2,49.5,49.5,99.0,0.0,0.0,63.5,127.0,0.5
broad,1987,2,2,263.5,263.5,527.0,6.25,12.5,78.0,156.0,0.5
broad,1989,2,2,11.5,11.5,23.0,0.0,0.0,17.0,34.0,0.0
broad,1990,1,1,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0
broad,1991,1,1,1117.0,1117.0,1117.0,31.45,31.45,640.0,640.0,0.0
broad,1993,2,2,61.5,61.5,123.0,0.0,0.0,41.0,82.0,0.0
broad,1994,4,4,83.25,49.0,333.0,4.5,18.0,69.25,277.0,0.0
broad,1995,3,3,21.666666666666668,0.0,65.0,1.0,3.0,21.333333333333332,64.0,1.0
broad,1996,3,3,193.66666666666666,149.0,581.0,11.71666666666667,35.15000000000001,182.33333333333334,547.0,0.0
broad,1997,2,2,13.5,13.5,27.0,0.0,0.0,27.0,54.0,0.0
broad,1998,2,2,70.5,70.5,141.0,0.0,0.0,93.0,186.0,0.0
broad,2000,2,2,2.0,2.0,4.0,0.0,0.0,11.5,23.0,0.0
broad,2001,4,4,17.25,12.5,69.0,0.0,0.0,18.75,75.0,0.0
broad,2002,6,6,45.333333333333336,38.0,272.0,0.5,3.0,66.66666666666667,400.0,0.16666666666666666
broad,2003,7,7,13.142857142857142,2.0,92.0,0.21428571428571427,1.5,16.428571428571427,115.0,0.0
broad,2004,9,9,46.22222222222222,9.0,416.0,1.2222222222222223,11.0,154.55555555555554,1391.0,0.2222222222222222
broad,2005,5,5,20.4,20.0,102.0,0.6,3.0,36.4,182.0,0.0
broad,2006,13,13,481.0769230769231,15.0,6254.0,16.092307692307692,209.2,329.46153846153845,4283.0,0.3076923076923077
broad,2007,26,26,62.34615384615385,21.0,1621.0,0.9423076923076923,24.5,69.76923076923077,1814.0,0.041666666666666664
broad,2008,25,25,79.88,5.0,1997.0,2.614,65.35,158.68,3967.0,0.16
broad,2009,49,49,38.48979591836735,13.0,1886.0,1.5959183673469388,78.2,88.71428571428571,4347.0,0.08163265306122448
broad,2010,52,52,24.846153846153847,7.5,1292.0,0.6346153846153846,33.0,72.21153846153847,3755.0,0.09615384615384616
broad,2011,67,67,53.76119402985075,9.0,3602.0,4.76044776119403,318.95,112.95522388059702,7568.0,0.07462686567164178
broad,2012,75,75,32.54666666666667,8.0,2441.0,1.8733333333333333,140.5,82.77333333333333,6208.0,0.136986301369863
broad,2013,88,88,50.97727272727273,9.0,4486.0,1.7278409090909093,152.05,102.13636363636364,8988.0,0.13636363636363635
broad,2014,128,128,41.3671875,10.5,5295.0,2.008203125,257.05,102.796875,13158.0,0.1484375
broad,2015,160,160,29.1875,11.0,4670.0,1.79625,287.4,92.3,14768.0,0.15723270440251572
broad,2016,206,206,41.422330097087375,13.0,8533.0,2.283495145631068,470.4,111.3495145631068,22938.0,0.1890547263681592
broad,2017,332,332,34.92168674698795,9.5,11594.0,5.636144578313263,1871.2000000000032,105.43072289156626,35003.0,0.182370820668693
broad,2018,433,433,23.10161662817552,7.0,10003.0,2.491224018475752,1078.7000000000005,87.50577367205543,37890.0,0.23776223776223776
broad,2019,580,580,19.801724137931036,7.0,11485.0,1.8568103448275854,1076.9499999999996,81.72413793103448,47400.0,0.36952714535901926
broad,2020,669,669,24.602391629297458,9.0,16459.0,1.8772047832585947,1255.85,98.04932735426009,65595.0,0.39076923076923076
broad,2021,806,806,16.40818858560794,6.0,13225.0,2.09758064516129,1690.6499999999999,77.64640198511167,62583.0,0.36025641025641025
broad,2022,858,858,12.298368298368299,5.0,10552.0,1.3527389277389277,1160.6499999999999,69.12703962703962,59311.0,0.450354609929078
broad,2023,937,937,10.202774813233725,3.0,9560.0,1.0630202774813236,996.0500000000001,55.96264674493063,52437.0,0.43811610076670315
broad,2024,1073,1073,5.849953401677539,2.0,6277.0,0.9301957129543337,998.1,39.241379310344826,42106.0,0.4522232734153264
broad,2025,1081,1081,1.5582255083179297,0.0,1686.0,0.667097966728281,721.8000000000001,19.69870609981516,21314.0,0.48857142857142855
broad,2026,43,43,0.23255813953488372,0.0,10.0,0.11627906976744186,5.0,11.023255813953488,474.0,0.27906976744186046
